Internet Movie Database;awards;poster;year;writer;country;director;duration;dvdYear;imdb_id;title;imdb_rating;language;imdb_votes;plot;genre;Rotten tomatoes;actors;Metacritic;metascore;releasedMonth;releasedYear;production
68.0;Nominated for 1 Oscar. Another 1 win & 9 nominations.;https://m.media-amazon.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_SX300.jpg;1995;Aaron Sorkin;USA;Rob Reiner;114;1999;tt0112346;The American President;6.8;English, French, Spanish;47,150;Comedy-drama about a widowed U.S. President and a lobbyist who fall in love. It's all above-board, but politics is perception, and sparks fly anyway.;Comedy, Drama, Romance;90;Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox;67.0;67;Nov;1995;Columbia Pictures
58.0;N/A;https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_SX300.jpg;1995;Mel Brooks (screenplay), Rudy De Luca (screenplay), Steve Haberman (screenplay), Rudy De Luca (story), Steve Haberman (story), Bram Stoker (characters);France, USA;Mel Brooks;88;2004;tt0112896;Dracula: Dead and Loving It;5.8;English, German;34,510;Mel Brooks' parody of the classic vampire story and its famous film adaptations.;Comedy, Fantasy, Horror;11;Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck;0;N/A;Dec;1995;WARNER BROTHERS PICTURES
71.0;1 nomination.;https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg;1995;Cliff Ruby (screenplay), Elana Lesser (screenplay), David Steven Cohen (screenplay), Roger S.H. Schulman (screenplay);USA;Simon Wells;78;2002;tt0112453;Balto;7.1;English;35,225;An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.;Animation, Adventure, Drama, Family, History;52;Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings;0;N/A;Dec;1995;MCA Universal Home Video
71.0;Nominated for 4 Oscars. Another 10 wins & 13 nominations.;https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg;1995;Stephen J. Rivele, Christopher Wilkinson, Oliver Stone;USA;Oliver Stone;192;1999;tt0113987;Nixon;7.1;English, Mandarin, Russian;26,469;A biographical story of former U.S. President Richard Milhous Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.;Biography, Drama, History;75;Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris;66.0;66;Jan;1996;Buena Vista Pictures
56.0;1 nomination.;https://m.media-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg;1995;Michael Frost Beckner (story), James Gorman (story), Bruce A. Evans (story), Raynold Gideon (story), Robert King (screenplay), Marc Norman (screenplay);USA, France, Italy, Germany;Renny Harlin;124;2000;tt0112760;Cutthroat Island;5.6;English;23,591;A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.;Action, Adventure, Comedy;38;Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin;37.0;37;Dec;1995;Live Home Video
82.0;Nominated for 1 Oscar. Another 3 wins & 9 nominations.;https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg;1995;Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay);USA, France;Martin Scorsese;178;1998;tt0112641;Casino;8.2;English;400,173;A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.;Crime, Drama;79;Robert De Niro, Sharon Stone, Joe Pesci, James Woods;73.0;73;Nov;1995;Universal Pictures
77.0;Won 1 Oscar. Another 31 wins & 44 nominations.;https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg;1995;Jane Austen (novel), Emma Thompson (screenplay);USA, UK;Ang Lee;136;1998;tt0114388;Sense and Sensibility;7.7;English, French;89,082;Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.;Drama, Romance;98;James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet;84.0;84;Jan;1996;Columbia Pictures
67.0;1 win & 1 nomination.;https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;1995;Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino;USA;Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino;98;1999;tt0113101;Four Rooms;6.7;English;88,271;Four interlocking tales that take place in a fading hotel on New Year's Eve.;Comedy;14;Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna;0;N/A;Dec;1995;Miramax Films
63.0;7 wins & 6 nominations.;https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;1995;Jack Bernstein (characters), Steve Oedekerk;USA;Steve Oedekerk;90;1997;tt0112281;Ace Ventura: When Nature Calls;6.3;English;182,460;Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.;Adventure, Comedy, Crime;33;Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi;45.0;45;Nov;1995;Warner Home Video
56.0;1 nomination.;https://m.media-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg;1995;Doug Richardson (story), Doug Richardson (screenplay), David Loughery (screenplay);USA;Joseph Ruben;110;2001;tt0113845;Money Train;5.6;English;35,618;A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.;Action, Comedy, Crime, Drama, Thriller;22;Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake;0;N/A;Nov;1995;Sony Pictures Home Entertainment
69.0;Won 1 Golden Globe. Another 5 wins & 15 nominations.;https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg;1995;Elmore Leonard (novel), Scott Frank (screenplay);USA;Barry Sonnenfeld;105;1997;tt0113161;Get Shorty;6.9;English;69,416;A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.;Comedy, Crime, Thriller;87;John Travolta, Gene Hackman, Rene Russo, Danny DeVito;82.0;82;Oct;1995;MGM
66.0;2 wins & 1 nomination.;https://images-na.ssl-images-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg;1995;Ann Biderman, David Madsen;USA;Jon Amiel;123;1998;tt0112722;Copycat;6.6;English;46,166;An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.;Drama, Mystery, Thriller;76;Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara;54.0;54;Oct;1995;Warner Home Video
63.0;1 win & 1 nomination.;https://m.media-amazon.com/images/M/MV5BZGI1NDA4ZDItNTRjMi00YTU3LTkwZDEtYjdlNTI1ZjQxZDM1XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg;1995;Lilly Wachowski (story), Lana Wachowski (story), Lilly Wachowski (screenplay), Lana Wachowski (screenplay), Brian Helgeland (screenplay);France, USA;Richard Donner;132;1997;tt0112401;Assassins;6.3;English, Dutch, Spanish;71,028;Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.;Action, Crime, Thriller;15;Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov;0;N/A;Oct;1995;Warner Home Video
66.0;1 win & 1 nomination.;https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg;1995;Victor Salva;USA;Victor Salva;111;1999;tt0114168;Powder;6.6;English;26,537;An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.;Drama, Fantasy, Mystery;50;Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum;0;N/A;Oct;1995;Hollywood Pictures
75.0;Won 1 Oscar. Another 30 wins & 26 nominations.;https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg;1995;John O'Brien (based upon the novel by), Mike Figgis (screenplay by);France, UK, USA;Mike Figgis;111;1998;tt0113627;Leaving Las Vegas;7.5;English, Russian;104,245;Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.;Drama, Romance;90;Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis;82.0;82;Feb;1996;United Artists
69.0;3 nominations.;https://m.media-amazon.com/images/M/MV5BMTIxMzA2ODk2NV5BMl5BanBnXkFtZTcwMzQ4ODIyMQ@@._V1_SX300.jpg;1995;Oliver Parker (adaptation), William Shakespeare (play);USA, UK;Oliver Parker;123;2000;tt0114057;Othello;6.9;English;8,371;The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.;Drama, Romance;67;Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker;0;N/A;Jan;1996;Sony Pictures Home Entertainment
68.0;1 nomination.;https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg;1995;I. Marlene King;USA;Lesli Linka Glatter;100;1999;tt0114011;Now and Then;6.8;English;23,717;Four 12-year-old girls grow up together during an eventful small-town summer in 1970.;Comedy, Drama, Romance;28;Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith;0;N/A;Oct;1995;New Line Home Entertainment
77.0;7 wins & 2 nominations.;http://ia.media-imdb.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_SX300.jpg;1995;Jane Austen (novel), Nick Dear (screenplay);UK, USA, France;Roger Michell;107;2004;tt0114117;Persuasion;7.7;English;8,758;Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...;Drama, Romance;85;Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave;0;N/A;Sep;1995;Sony Pictures Home Entertainment
76.0;2 wins & 11 nominations.;https://m.media-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg;1995;Gilles Adrien, Jean-Pierre Jeunet, Marc Caro, Gilles Adrien (dialogue), Guillaume Laurant (additional dialogue), Jean-Pierre Jeunet (additional dialogue);France, Germany, Spain, Belgium;Marc Caro, Jean-Pierre Jeunet;112;1999;tt0112682;The City of Lost Children;7.6;French, Cantonese;60,656;A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.;Fantasy, Sci-Fi;79;Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon;73.0;73;Dec;1995;Sony Pictures Classics
72.0;Nominated for 1 Oscar. Another 5 wins & 3 nominations.;https://m.media-amazon.com/images/M/MV5BMTgyMzAwOTQyNF5BMl5BanBnXkFtZTcwNDU1MjgxMQ@@._V1_SX300.jpg;1995;Bi Feiyu, Li Xiao (novel);France, China;Yimou Zhang;108;2000;tt0115012;Shanghai Triad;7.2;Mandarin;4,562;A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.;Crime, Drama, Romance;87;Li Gong, Baotian Li, Xiaoxiao Wang, Xuejian Li;0;N/A;Dec;1995;Sony Pictures Home Entertainment
65.0;6 wins & 6 nominations.;https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;1995;LouAnne Johnson (book), Ronald Bass (screenplay);USA;John N. Smith;99;1999;tt0112792;Dangerous Minds;6.5;English;43,465;An ex-Marine turned teacher struggles to connect with her students in an inner city school.;Biography, Drama;29;Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett;47.0;47;Aug;1995;Disney
80.0;Nominated for 2 Oscars. Another 9 wins & 18 nominations.;https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;1995;Chris Marker (film La Jetée), David Webb Peoples (screenplay), Janet Peoples (screenplay);USA;Terry Gilliam;129;1998;tt0114746;Twelve Monkeys;8.0;English, French;529,867;In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.;Mystery, Sci-Fi, Thriller;89;Joseph Melito, Bruce Willis, Jon Seda, Michael Chance;74.0;74;Jan;1996;Universal Pictures
68.0;Won 1 Oscar. Another 18 wins & 23 nominations.;https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg;1995;Dick King-Smith (novel), George Miller (screenplay), Chris Noonan (screenplay);Australia, USA;Chris Noonan;91;2003;tt0112431;Babe;6.8;English;105,838;Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.;Comedy, Drama, Family;97;Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving;83.0;83;Aug;1995;Universal Pictures
75.0;Won 1 Oscar. Another 20 wins & 19 nominations.;https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg;1995;Helen Prejean (book), Tim Robbins;UK, USA;Tim Robbins;122;1998;tt0112818;Dead Man Walking;7.5;English;81,030;A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.;Crime, Drama;95;Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry;80.0;80;Feb;1996;Gramercy Pictures
58.0;1 win & 3 nominations.;https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg;1995;Deborah Dean Davis;USA;Andy Tennant;101;2002;tt0113442;It Takes Two;5.8;English;17,394;Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...;Comedy, Family, Romance;8;Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen;45.0;45;Nov;1995;Warner Home Video
68.0;6 wins & 11 nominations.;https://m.media-amazon.com/images/M/MV5BMTgxODIxODE2MF5BMl5BanBnXkFtZTgwOTA4NjQxMTE@._V1_SX300.jpg;1995;Amy Heckerling;USA;Amy Heckerling;97;2006;tt0112697;Clueless;6.8;English, Spanish;149,551;A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.;Comedy, Romance;68.0;Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd;0;68;Jul;1995;N/A
69.0;1 win & 4 nominations.;https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_SX300.jpg;1995;Ronald Harwood (screenplay), Alan Paton (novel);South Africa, USA;Darrell Roodt;106;2003;tt0112749;Cry, the Beloved Country;6.9;English;1,563;A South African preacher goes to search for his wayward son, who has committed a crime in the big city.;Drama, Thriller;85;James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton;71.0;71;Dec;1995;Miramax
75.0;Nominated for 2 Oscars. Another 7 wins & 10 nominations.;https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg;1995;William Shakespeare (play), Ian McKellen, Richard Loncraine;UK, USA;Richard Loncraine;110;2001;tt0114279;Richard III;7.5;English;12,626;The classic Shakespearean play about a murderously scheming King staged in an alternative fascist England setting.;Drama, Sci-Fi, War;94;Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson;0;N/A;Dec;1995;United Artists
69.0;2 nominations.;https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;1995;Allen Hughes (story), Albert Hughes (story), Michael Henry Brown (story), Michael Henry Brown (screenplay), Wallace Terry (story Specialist No.4 Haywood T. 'The Kid' Kirkland);USA;Albert Hughes, Allen Hughes;119;1998;tt0112819;Dead Presidents;6.9;English;17,536;A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.;Action, Crime, Drama, Thriller, War;45;Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez;0;N/A;Oct;1995;Hollywood Pictures
67.0;Won 2 Oscars. Another 2 nominations.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxODZiZTUtNTlhNy00Y2Q3LWFjMjctOTYyZGY2ZmIxZGRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;1995;Rose Tremain (novel), Rupert Walters (screenplay);USA, UK;Michael Hoffman;117;1999;tt0114272;Restoration;6.7;English, Latin;7,995;The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.;Biography, Drama, History;70;Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker;0;N/A;Feb;1996;Miramax
58.0;1 win & 3 nominations.;https://m.media-amazon.com/images/M/MV5BNzJhYjYxMTctNmY4My00NGIzLThmN2MtYjgwMjlmZWNjMTJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;1995;Ed Boon (video games), John Tobias (video games), Kevin Droney;USA;Paul W.S. Anderson;101;1997;tt0113855;Mortal Kombat;5.8;English;91,380;Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.;Action, Adventure, Fantasy, Sci-Fi, Thriller;38;Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa;57.99999999999999;58;Aug;1995;New Line Home Entertainment
68.0;Won 1 Golden Globe. Another 6 wins & 12 nominations.;https://m.media-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;1995;Joyce Maynard (book), Buck Henry (screenplay);USA, UK, Canada;Gus Van Sant;106;2001;tt0114681;To Die For;6.8;English;38,869;A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.;Comedy, Crime, Drama;88;Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck;86.0;86;Oct;1995;Columbia Pictures
