Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDN02,OUT010,1775.6886
FDN20,OUT010,1524.0162
FDN21,OUT010,481.3734
FDN31,OUT010,1061.951
FDN32,OUT010,1524.0162
FDN38,OUT010,992.042
FDN45,OUT010,1775.6886
FDN46,OUT010,1090.5804
FDN48,OUT010,886.8456
FDN50,OUT010,762.341
FDN52,OUT010,1090.5804
FDN56,OUT010,382.1692
FDO01,OUT010,1061.951
FDO09,OUT010,1162.4868
FDO15,OUT010,221.7114
FDO20,OUT010,1775.6886
FDO27,OUT010,1090.5804
FDO31,OUT010,1090.5804
FDO32,OUT010,762.341
FDO36,OUT010,179.766
FDO38,OUT010,762.341
FDO45,OUT010,762.341
FDO46,OUT010,1524.0162
FDO48,OUT010,1524.0162
FDO51,OUT010,762.341
FDP07,OUT010,1524.0162
FDP08,OUT010,1775.6886
FDP09,OUT010,424.7804
FDP10,OUT010,1061.951
FDP13,OUT010,81.2276
FDP21,OUT010,948.765
FDP23,OUT010,1524.0162
FDP32,OUT010,1090.5804
FDP33,OUT010,255.6672
FDP37,OUT010,387.4956
FDP48,OUT010,1524.0162
FDP57,OUT010,1061.951
FDQ03,OUT010,711.0744
FDQ11,OUT010,256.9988
FDQ12,OUT010,724.3904
FDQ20,OUT010,762.341
FDQ26,OUT010,762.341
FDQ28,OUT010,1775.6886
FDQ33,OUT010,1775.6886
FDQ49,OUT010,551.2824
FDQ52,OUT010,1775.6886
FDR11,OUT010,1775.6886
FDR12,OUT010,687.1056
FDR13,OUT010,762.341
FDR14,OUT010,107.8596
FDR15,OUT010,308.9312
FDR16,OUT010,1775.6886
FDR19,OUT010,1775.6886
FDR28,OUT010,1524.0162
FDR31,OUT010,382.1692
FDR33,OUT010,657.8104
FDR45,OUT010,1575.2828
FDR56,OUT010,1775.6886
FDR58,OUT010,1090.5804
FDS01,OUT010,175.7712
FDS08,OUT010,1090.5804
FDS25,OUT010,1090.5804
FDS33,OUT010,387.4956
FDS39,OUT010,1524.0162
FDS47,OUT010,1061.951
FDS55,OUT010,307.5996
FDS60,OUT010,1061.951
FDT01,OUT010,1775.6886
FDT08,OUT010,1524.0162
FDT09,OUT010,131.8284
FDT14,OUT010,1775.6886
FDT16,OUT010,1575.2828
FDT19,OUT010,1775.6886
FDT20,OUT010,762.341
FDT23,OUT010,762.341
FDT25,OUT010,1090.5804
FDT27,OUT010,1775.6886
FDT31,OUT010,1524.0162
FDT37,OUT010,508.6712
FDT45,OUT010,762.341
FDT47,OUT010,1090.5804
FDT49,OUT010,1090.5804
FDT50,OUT010,762.341
FDT59,OUT010,1575.2828
FDT60,OUT010,123.8388
FDU03,OUT010,1775.6886
FDU09,OUT010,1090.5804
FDU11,OUT010,1090.5804
FDU13,OUT010,886.8456
FDU20,OUT010,387.4956
FDU21,OUT010,33.29
FDU28,OUT010,387.4956
FDU31,OUT010,1524.0162
FDU45,OUT010,683.1108
FDU52,OUT010,419.454
FDV03,OUT010,1775.6886
FDV10,OUT010,50.6008
FDV12,OUT010,1061.951
FDV19,OUT010,159.792
FDV23,OUT010,657.8104
FDV27,OUT010,196.411
FDV40,OUT010,762.341
FDV50,OUT010,1061.951
FDV52,OUT010,1061.951
FDV56,OUT010,762.341
FDV58,OUT010,1775.6886
FDW01,OUT010,153.7998
FDW03,OUT010,1090.5804
FDW11,OUT010,762.341
FDW14,OUT010,1090.5804
FDW15,OUT010,1775.6886
FDW16,OUT010,1061.951
FDW21,OUT010,1090.5804
FDW25,OUT010,762.341
FDW33,OUT010,1090.5804
FDW34,OUT010,484.7024
FDW39,OUT010,197.0768
FDW45,OUT010,1524.0162
FDW49,OUT010,895.501
FDX08,OUT010,387.4956
FDX09,OUT010,175.7712
FDX13,OUT010,1575.2828
FDX19,OUT010,1775.6886
FDX22,OUT010,209.727
FDX24,OUT010,197.0768
FDX28,OUT010,1090.5804
FDX35,OUT010,474.0496
FDX36,OUT010,474.0496
FDX46,OUT010,762.341
FDX47,OUT010,551.2824
FDX59,OUT010,762.341
FDY14,OUT010,1775.6886
FDY19,OUT010,1524.0162
FDY22,OUT010,1061.951
FDY28,OUT010,724.3904
FDY31,OUT010,1524.0162
FDY36,OUT010,231.6984
FDY37,OUT010,1524.0162
FDY45,OUT010,1575.2828
FDY52,OUT010,231.6984
FDY58,OUT010,1575.2828
FDY59,OUT010,762.341
FDZ13,OUT010,762.341
FDZ19,OUT010,1775.6886
FDZ36,OUT010,1775.6886
FDZ39,OUT010,762.341
FDZ40,OUT010,762.341
FDZ47,OUT010,1061.951
FDZ48,OUT010,329.571
FDZ49,OUT010,1775.6886
FDZ50,OUT010,1775.6886
FDZ52,OUT010,1061.951
FDZ56,OUT010,1050.6324
FDZ57,OUT010,762.341
NCA17,OUT010,1524.0162
NCB43,OUT010,1775.6886
NCC06,OUT010,1524.0162
NCC07,OUT010,1061.951
NCC42,OUT010,1061.951
NCD30,OUT010,1061.951
NCE19,OUT010,277.6386
NCE42,OUT010,1575.2828
NCF19,OUT010,231.6984
NCF43,OUT010,1090.5804
NCG42,OUT010,1061.951
NCH43,OUT010,215.7192
NCI06,OUT010,358.2004
NCI30,OUT010,247.0118
NCJ06,OUT010,442.757
NCJ31,OUT010,1775.6886
NCJ54,OUT010,1775.6886
NCK17,OUT010,81.2276
NCK31,OUT010,762.341
NCL17,OUT010,1775.6886
NCL19,OUT010,1061.951
NCM17,OUT010,762.341
NCM18,OUT010,1061.951
NCM19,OUT010,1524.0162
NCM31,OUT010,1090.5804
NCM42,OUT010,1090.5804
NCM53,OUT010,1061.951
NCM54,OUT010,442.757
NCN42,OUT010,1524.0162
NCN55,OUT010,1775.6886
NCO05,OUT010,1090.5804
NCO18,OUT010,1524.0162
NCO26,OUT010,1090.5804
NCO30,OUT010,886.8456
NCO43,OUT010,1090.5804
NCO54,OUT010,196.411
NCP14,OUT010,1775.6886
NCQ02,OUT010,1524.0162
NCQ18,OUT010,1061.951
NCQ29,OUT010,1034.6532
NCQ42,OUT010,442.757
NCQ43,OUT010,218.3824
NCS29,OUT010,264.9884
NCS38,OUT010,1090.5804
NCS41,OUT010,1061.951
NCT18,OUT010,1775.6886
NCT53,OUT010,886.8456
NCT54,OUT010,762.341
NCU18,OUT010,886.8456
NCU29,OUT010,595.2252
NCU30,OUT010,1524.0162
NCU41,OUT010,1524.0162
NCV06,OUT010,194.4136
NCV54,OUT010,551.2824
NCW05,OUT010,1775.6886
NCW29,OUT010,129.831
NCW41,OUT010,1524.0162
NCX06,OUT010,539.298
NCX30,OUT010,495.3552
NCY05,OUT010,762.341
NCY06,OUT010,1775.6886
NCY29,OUT010,113.186
NCY54,OUT010,1775.6886
DRB24,OUT013,4170.5712
DRC12,OUT013,3972.8286
DRC13,OUT013,2596.62
DRC24,OUT013,3451.5072
DRC27,OUT013,1379.5376
DRC49,OUT013,1901.5248
DRD01,OUT013,1255.6988
DRD25,OUT013,2746.425
DRD49,OUT013,1151.834
DRE01,OUT013,7452.9652
DRE03,OUT013,323.5788
DRE15,OUT013,970.7364
DRE25,OUT013,1929.4884
DRE37,OUT013,3342.316
DRF23,OUT013,2616.594
DRF36,OUT013,4847.024
DRF48,OUT013,1929.4884
DRF49,OUT013,1366.2216
DRF51,OUT013,275.6412
DRF60,OUT013,4290.4152
DRG27,OUT013,303.6048
DRG39,OUT013,1262.3568
DRG48,OUT013,4637.9628
DRG49,OUT013,6088.0752
DRG51,OUT013,5367.6796
DRH01,OUT013,4344.345
DRH03,OUT013,279.636
DRH59,OUT013,739.038
DRI11,OUT013,3178.5292
DRI23,OUT013,1644.526
DRI37,OUT013,703.0848
DRI39,OUT013,331.5684
DRI49,OUT013,1218.414
DRI51,OUT013,4181.224
DRI59,OUT013,3600.6464
DRJ01,OUT013,1288.9888
DRJ25,OUT013,1379.5376
DRJ37,OUT013,4138.6128
DRK01,OUT013,1733.0774
DRK35,OUT013,1274.3412
DRK37,OUT013,4339.0186
DRK59,OUT013,3779.0808
DRL11,OUT013,4604.6728
DRL47,OUT013,1929.4884
DRL49,OUT013,524.6504
DRL59,OUT013,1331.6
DRL60,OUT013,2343.616
DRM35,OUT013,6042.135
DRM47,OUT013,6093.4016
DRM48,OUT013,1491.392
DRN11,OUT013,3779.0808
DRN36,OUT013,1464.76
DRN59,OUT013,1015.345
DRO35,OUT013,4054.722
DRO47,OUT013,2490.092
DRO59,OUT013,1885.5456
DRY23,OUT013,255.6672
DRZ24,OUT013,3835.008
FDA01,OUT013,527.3136
FDA09,OUT013,898.83
FDA10,OUT013,1733.0774
FDA11,OUT013,2363.59
FDA14,OUT013,1803.6522
FDA16,OUT013,5346.374
FDA22,OUT013,6042.135
FDA25,OUT013,948.0992
FDA27,OUT013,1022.6688
FDA28,OUT013,1845.5976
FDA31,OUT013,3779.0808
FDA32,OUT013,1078.596
FDA33,OUT013,3881.614
FDA35,OUT013,1960.1152
FDA37,OUT013,3972.8286
FDA48,OUT013,5313.084
FDA49,OUT013,2174.5028
FDB05,OUT013,6042.135
FDB08,OUT013,3342.316
FDB09,OUT013,1369.5506
FDB10,OUT013,3972.8286
FDB14,OUT013,2490.092
FDB21,OUT013,6042.135
FDB22,OUT013,5367.6796
FDB26,OUT013,994.7052
FDB27,OUT013,2077.296
FDB32,OUT013,1102.5648
FDB34,OUT013,1657.1762
FDB38,OUT013,3440.8544
FDB39,OUT013,972.068
FDB41,OUT013,1179.1318
FDB46,OUT013,5326.4
FDB49,OUT013,2167.8448
FDB50,OUT013,1168.479
FDB53,OUT013,3775.086
FDB59,OUT013,1038.648
FDC04,OUT013,3663.2316
FDC05,OUT013,4138.6128
FDC10,OUT013,843.5686
FDC15,OUT013,1571.288
FDC16,OUT013,1731.08
FDC20,OUT013,355.5372
FDC23,OUT013,2544.6876
FDC26,OUT013,3038.7112
FDC28,OUT013,1929.4884
FDC45,OUT013,1539.9954
FDC48,OUT013,1342.2528
FDC50,OUT013,2217.114
FDC56,OUT013,3972.8286
FDC59,OUT013,785.644
FDC60,OUT013,2833.6448
FDD16,OUT013,3038.7112
FDD20,OUT013,3488.1262
FDD22,OUT013,4604.6728
FDD23,OUT013,3795.06
FDD26,OUT013,4027.4242
FDD28,OUT013,898.83
FDD36,OUT013,3178.5292
FDD48,OUT013,3972.8286
FDD53,OUT013,1274.3412
FDD56,OUT013,4027.4242
FDD59,OUT013,2255.7304
FDE08,OUT013,3952.1888
FDE09,OUT013,1413.4934
FDE10,OUT013,2098.6016
FDE16,OUT013,3542.7218
FDE21,OUT013,1929.4884
FDE22,OUT013,4314.384
FDE23,OUT013,326.242
FDE24,OUT013,1139.8496
FDE34,OUT013,6179.9556
FDE36,OUT013,4258.4568
FDE38,OUT013,5285.1204
FDE39,OUT013,2241.7486
FDE40,OUT013,1318.284
FDE41,OUT013,930.1226
FDE50,OUT013,4149.9314
FDE52,OUT013,6911.004
FDE53,OUT013,261.6594
FDE56,OUT013,2174.5028
FDF11,OUT013,4456.1994
FDF14,OUT013,2707.1428
FDF17,OUT013,2946.165
FDF24,OUT013,373.5138
FDF26,OUT013,3579.3408
FDF28,OUT013,3560.6984
FDF33,OUT013,2343.616
FDF34,OUT013,3372.9428
FDF40,OUT013,6042.135
FDF41,OUT013,3950.1914
FDF44,OUT013,2628.5784
FDF46,OUT013,1257.0304
FDF50,OUT013,2956.152
FDF57,OUT013,2153.1972
FDF58,OUT013,3038.7112
FDF59,OUT013,1929.4884
FDG02,OUT013,2285.0256
FDG04,OUT013,4303.0654
FDG05,OUT013,3779.0808
FDG10,OUT013,645.1602
FDG12,OUT013,3779.0808
FDG14,OUT013,4402.2696
FDG17,OUT013,6088.0752
FDG20,OUT013,1416.8224
FDG21,OUT013,2527.3768
FDG22,OUT013,319.584
FDG28,OUT013,555.2772
FDG35,OUT013,3099.9648
FDG40,OUT013,1015.345
FDG41,OUT013,1733.0774
FDG44,OUT013,852.224
FDG58,OUT013,5367.6796
FDG59,OUT013,308.9312
FDH04,OUT013,1629.8784
FDH05,OUT013,2316.984
FDH08,OUT013,6042.135
FDH09,OUT013,355.5372
FDH12,OUT013,1108.557
FDH22,OUT013,1017.3424
FDH24,OUT013,2199.8032
FDH28,OUT013,265.6542
FDH31,OUT013,1134.5232
FDH33,OUT013,1274.3412
FDH34,OUT013,4847.024
FDH38,OUT013,3215.814
FDH44,OUT013,3972.8286
FDH45,OUT013,123.8388
FDH52,OUT013,764.3384
FDH57,OUT013,3178.5292
FDH60,OUT013,3914.904
FDI02,OUT013,337.5606
FDI05,OUT013,2876.256
FDI07,OUT013,3643.2576
FDI08,OUT013,5727.2116
FDI09,OUT013,5842.395
FDI12,OUT013,878.856
FDI14,OUT013,3579.3408
FDI26,OUT013,4460.86
FDI27,OUT013,645.1602
FDI34,OUT013,4149.9314
FDI35,OUT013,5842.395
FDI36,OUT013,5339.0502
FDI38,OUT013,3350.3056
FDI40,OUT013,2010.716
FDI46,OUT013,755.0172
FDI53,OUT013,1539.9954
FDJ02,OUT013,2354.2688
FDJ07,OUT013,2037.348
FDJ08,OUT013,5159.2842
FDJ15,OUT013,3495.45
FDJ16,OUT013,1547.3192
FDJ26,OUT013,1794.331
FDJ27,OUT013,2217.114
FDJ28,OUT013,1924.162
FDJ33,OUT013,2972.797
FDJ36,OUT013,2876.256
FDJ46,OUT013,3440.8544
FDJ50,OUT013,958.752
FDJ52,OUT013,1618.5598
FDJ53,OUT013,2410.196
FDJ56,OUT013,998.7
FDJ57,OUT013,3793.7284
FDK02,OUT013,3342.316
FDK03,OUT013,5153.292
FDK04,OUT013,994.7052
FDK09,OUT013,4122.6336
FDK15,OUT013,1868.2348
FDK22,OUT013,4327.7
FDK24,OUT013,323.5788
FDK25,OUT013,2863.6058
FDK26,OUT013,3169.208
FDK27,OUT013,1938.8096
FDK28,OUT013,9275.9256
FDK32,OUT013,2816.334
FDK38,OUT013,2479.4392
FDK44,OUT013,347.5476
FDK46,OUT013,6093.4016
FDK48,OUT013,1929.4884
FDK57,OUT013,7452.9652
FDK60,OUT013,1187.7872
FDL14,OUT013,1378.206
FDL15,OUT013,1829.6184
FDL20,OUT013,3579.3408
FDL25,OUT013,183.7608
FDL26,OUT013,780.3176
FDL27,OUT013,322.2472
FDL36,OUT013,1543.3244
FDL45,OUT013,2816.334
FDM02,OUT013,1402.1748
FDM03,OUT013,2303.668
FDM09,OUT013,2167.8448
FDM12,OUT013,3038.7112
FDM14,OUT013,2930.1858
FDM16,OUT013,1733.0774
FDM21,OUT013,3091.9752
FDM24,OUT013,1618.5598
FDM34,OUT013,2606.607
FDM46,OUT013,1278.336
FDM52,OUT013,3338.3212
FDM57,OUT013,610.5386
FDN01,OUT013,3235.788
FDN03,OUT013,4733.838
FDN08,OUT013,3064.0116
FDN10,OUT013,829.5868
FDN20,OUT013,3038.7112
FDN24,OUT013,1364.89
FDN27,OUT013,2410.196
FDN28,OUT013,1403.5064
FDN32,OUT013,2458.1336
FDN44,OUT013,4793.76
FDN45,OUT013,1789.6704
FDN48,OUT013,1868.2348
FDN49,OUT013,373.5138
FDN50,OUT013,322.913
FDN51,OUT013,3418.883
FDN52,OUT013,5956.9126
FDN57,OUT013,2127.231
FDN60,OUT013,5592.72
FDO01,OUT013,2606.607
FDO03,OUT013,4727.18
FDO04,OUT013,939.4438
FDO11,OUT013,5153.292
FDO15,OUT013,1577.946
FDO16,OUT013,3972.8286
FDO25,OUT013,3950.1914
FDO27,OUT013,1278.336
FDO33,OUT013,3235.788
FDO38,OUT013,778.986
FDO40,OUT013,3342.316
FDO45,OUT013,1757.712
FDO49,OUT013,898.83
FDO56,OUT013,1874.8928
FDO57,OUT013,4492.8184
FDP01,OUT013,3038.7112
FDP04,OUT013,739.038
FDP09,OUT013,1095.241
FDP12,OUT013,351.5424
FDP15,OUT013,10256.649
FDP16,OUT013,6088.0752
FDP21,OUT013,3950.1914
FDP22,OUT013,942.7728
FDP25,OUT013,3091.9752
FDP31,OUT013,323.5788
FDP32,OUT013,2217.114
FDP34,OUT013,2700.4848
FDP39,OUT013,617.8624
FDP45,OUT013,5285.1204
FDP48,OUT013,3435.528
FDP51,OUT013,3972.8286
FDP52,OUT013,5509.495
FDP56,OUT013,942.7728
FDP57,OUT013,1038.648
FDP58,OUT013,5089.3752
FDP59,OUT013,2596.62
FDQ01,OUT013,2863.6058
FDQ04,OUT013,1274.3412
FDQ07,OUT013,1151.834
FDQ08,OUT013,490.0288
FDQ11,OUT013,2775.7202
FDQ12,OUT013,2067.309
FDQ14,OUT013,3972.8286
FDQ22,OUT013,645.1602
FDQ25,OUT013,2241.7486
FDQ26,OUT013,617.8624
FDQ27,OUT013,3972.8286
FDQ32,OUT013,1981.4208
FDQ33,OUT013,3435.528
FDQ36,OUT013,1098.57
FDQ47,OUT013,942.7728
FDQ55,OUT013,3455.502
FDQ57,OUT013,1611.236
FDQ58,OUT013,259.662
FDQ60,OUT013,2833.6448
FDR03,OUT013,3142.576
FDR07,OUT013,380.8376
FDR08,OUT013,222.3772
FDR15,OUT013,691.1004
FDR16,OUT013,6088.0752
FDR20,OUT013,181.0976
FDR22,OUT013,3972.8286
FDR25,OUT013,3621.952
FDR28,OUT013,2816.334
FDR33,OUT013,1166.4816
FDR34,OUT013,4633.968
FDR39,OUT013,4925.5884
FDR44,OUT013,1174.4712
FDR45,OUT013,7843.124
FDR47,OUT013,3001.4264
FDR51,OUT013,2474.7786
FDR56,OUT013,2940.1728
FDR57,OUT013,1571.288
FDS01,OUT013,4637.9628
FDS02,OUT013,3950.1914
FDS03,OUT013,3038.7112
FDS08,OUT013,1821.6288
FDS09,OUT013,894.8352
FDS10,OUT013,1480.0734
FDS11,OUT013,2876.256
FDS23,OUT013,3342.316
FDS25,OUT013,3779.0808
FDS32,OUT013,1203.1006
FDS34,OUT013,683.1108
FDS43,OUT013,2237.088
FDS44,OUT013,5355.0294
FDS46,OUT013,715.0692
FDS50,OUT013,4434.228
FDS51,OUT013,322.913
FDS52,OUT013,373.5138
FDT01,OUT013,1274.3412
FDT02,OUT013,466.06
FDT03,OUT013,2606.607
FDT04,OUT013,292.952
FDT09,OUT013,3829.0158
FDT11,OUT013,4138.6128
FDT13,OUT013,4137.2812
FDT15,OUT013,2516.724
FDT16,OUT013,8851.1452
FDT22,OUT013,1029.9926
FDT26,OUT013,3910.9092
FDT32,OUT013,1789.6704
FDT33,OUT013,3972.8286
FDT34,OUT013,948.0992
FDT35,OUT013,2006.7212
FDT38,OUT013,948.0992
FDT39,OUT013,3453.5046
FDT43,OUT013,942.7728
FDT44,OUT013,1158.492
FDT46,OUT013,942.7728
FDT47,OUT013,2450.144
FDT52,OUT013,4149.9314
FDT56,OUT013,761.6752
FDT58,OUT013,1342.2528
FDT59,OUT013,6911.004
FDT60,OUT013,3579.3408
FDU01,OUT013,6042.135
FDU03,OUT013,4101.328
FDU04,OUT013,1514.695
FDU09,OUT013,2410.196
FDU14,OUT013,6042.135
FDU25,OUT013,982.7208
FDU26,OUT013,729.7168
FDU28,OUT013,5956.9126
FDU31,OUT013,2821.6604
FDU33,OUT013,1379.5376
FDU35,OUT013,2479.4392
FDU39,OUT013,770.3306
FDU44,OUT013,2544.6876
FDU45,OUT013,3453.5046
FDU47,OUT013,309.597
FDU48,OUT013,1669.8264
FDU49,OUT013,3579.3408
FDU52,OUT013,5956.9126
FDU55,OUT013,3418.883
FDU58,OUT013,1398.18
FDU60,OUT013,5770.4886
FDV01,OUT013,2375.5744
FDV07,OUT013,2450.144
FDV10,OUT013,894.8352
FDV11,OUT013,3691.1952
FDV15,OUT013,3972.8286
FDV21,OUT013,5367.6796
FDV23,OUT013,871.5322
FDV24,OUT013,2450.144
FDV27,OUT013,785.644
FDV31,OUT013,715.0692
FDV32,OUT013,2174.5028
FDV33,OUT013,1701.7848
FDV35,OUT013,4604.6728
FDV36,OUT013,5141.3076
FDV43,OUT013,1015.345
FDV49,OUT013,3171.8712
FDV52,OUT013,353.5398
FDV55,OUT013,2462.7942
FDV58,OUT013,3605.307
FDV59,OUT013,3984.1472
FDW04,OUT013,1360.2294
FDW10,OUT013,5469.547
FDW14,OUT013,373.5138
FDW19,OUT013,958.752
FDW22,OUT013,1095.241
FDW27,OUT013,3453.5046
FDW33,OUT013,1567.959
FDW35,OUT013,181.0976
FDW36,OUT013,1402.1748
FDW37,OUT013,1929.4884
FDW38,OUT013,323.5788
FDW39,OUT013,3972.8286
FDW40,OUT013,3952.1888
FDW51,OUT013,3835.008
FDW56,OUT013,3504.7712
FDW57,OUT013,3896.2616
FDX01,OUT013,2930.1858
FDX07,OUT013,4134.618
FDX08,OUT013,3453.5046
FDX10,OUT013,305.6022
FDX12,OUT013,3165.879
FDX14,OUT013,619.8598
FDX21,OUT013,1108.557
FDX22,OUT013,4418.2488
FDX24,OUT013,1187.7872
FDX25,OUT013,3387.5904
FDX28,OUT013,1584.604
FDX32,OUT013,3453.5046
FDX34,OUT013,4637.9628
FDX43,OUT013,1498.05
FDX48,OUT013,5956.9126
FDX51,OUT013,3463.4916
FDX52,OUT013,2544.6876
FDX55,OUT013,1491.392
FDY02,OUT013,4733.838
FDY04,OUT013,1468.089
FDY08,OUT013,1966.7732
FDY09,OUT013,2404.2038
FDY10,OUT013,1145.176
FDY15,OUT013,1618.5598
FDY22,OUT013,575.2512
FDY26,OUT013,3504.7712
FDY32,OUT013,5956.9126
FDY33,OUT013,5443.5808
FDY34,OUT013,1867.569
FDY35,OUT013,802.9548
FDY36,OUT013,1331.6
FDY39,OUT013,3101.2964
FDY43,OUT013,1015.345
FDY44,OUT013,2759.0752
FDY45,OUT013,4819.7262
FDY46,OUT013,3950.1914
FDY50,OUT013,1669.8264
FDY51,OUT013,3085.3172
FDY58,OUT013,4567.388
FDY60,OUT013,3739.1328
FDZ02,OUT013,534.6374
FDZ03,OUT013,4134.618
FDZ07,OUT013,1029.9926
FDZ13,OUT013,221.0456
FDZ14,OUT013,3488.1262
FDZ19,OUT013,4152.5946
FDZ22,OUT013,1885.5456
FDZ28,OUT013,3235.788
FDZ31,OUT013,4250.4672
FDZ35,OUT013,3779.0808
FDZ39,OUT013,1627.881
FDZ40,OUT013,942.7728
FDZ44,OUT013,1874.8928
FDZ46,OUT013,1105.228
FDZ47,OUT013,2255.7304
FDZ48,OUT013,1118.544
FDZ50,OUT013,6088.0752
FDZ55,OUT013,2396.88
FDZ58,OUT013,3779.0808
FDZ60,OUT013,499.35
NCA41,OUT013,1689.8004
NCA53,OUT013,928.791
NCB07,OUT013,3950.1914
NCB19,OUT013,1631.8758
NCB30,OUT013,2544.6876
NCB31,OUT013,4207.856
NCC18,OUT013,3099.9648
NCC55,OUT013,319.584
NCD31,OUT013,4149.9314
NCD55,OUT013,1274.3412
NCE06,OUT013,3038.7112
NCE07,OUT013,709.077
NCE43,OUT013,5321.0736
NCE55,OUT013,1659.8394
NCF06,OUT013,5956.9126
NCF07,OUT013,1733.0774
NCF30,OUT013,3342.316
NCF54,OUT013,5956.9126
NCG42,OUT013,1596.5884
NCG54,OUT013,2544.6876
NCH06,OUT013,3202.498
